project title,Project Code (GAFSP),Project ID (World Bank),Project Symbol (FAO),Project Number (ADB),GRIPs ID (IFAD),AfDB,Reference Number (WFP),country,project status,funding,supervising entity,call year,Project amount,Commitment amount,environmental category,summary,,,,,,,,,,,,,,,,
Supporting Small-scale Family Farmers who are Members of CAPAD Cooperatives in Burundi to be Resilient to the effects of the COVID-19 Pandemic,,,,,BDDI-CAPAD,,,Burundi,Under Preperation,Public,IFAD,2021,,2.34 million,agriculture,"Solution
In Burundi, a $2.34 million aims to support small family farmers who are members of CAPAD cooperatives to be resilient against the effects of the COVID-19 pandemic, while sustainably improving their income and food security. The project aims to do so by supporting the quantitative and qualitative increase in the supply of multipurpose bananas and their marketing and developing the capacity building of cooperatives in support of the marketing of products. 
The banana sector was selected for this project because it is the most commercialized agricultural production in volume and value, representing 14 percent of Burundi’s GDP and 38 percent of agricultural GDP, and involving more than 1,300,000 farm households. The development of semi-industrial and industrial processing and the recent strengthening of inter-professional cooperation between the sector’s actors (producers, processors and traders) will stimulate wealth creation along the value chains. The project will target Moso, one of the areas most affected by the pandemic in Burundi, and where socio-economic recovery is slow to take hold. The activities will focus on nine CAPAD cooperatives and their over 4,800 members, including small and medium-sized family farmers bananas producers 52 percent of whom are women, affected by the effects of the COVID-19 pandemic. The project will provide market opportunities and income to banana producers, who currently face difficulties in exporting and selling their produce on the local market. It will strengthen the operational capacity of cooperatives in the region to provide better economic and commercial services to their members. The investment in strengthening the resilience of producers is justified by the existence of market opportunities for banana juice and the presence of the banana juice processor (SOCOPA) located in the project area. SOCOPA plans, through additional investments, to double its production capacity by 2022 in certain markets, such as that natural gas and non-gas banana juice, coveted for their nutritional qualities. Negotiations/discussions are also underway with the World Food Programme (WFP) to promote the consumption of these banana juices in school canteens, through WFP’s school feeding program.   
The project will introduce new types of plant material, such as banana plants, multi-purpose varieties, allowing the production of bananas for juice or cooking banana, and varieties producing a fruit rich in vitamin A. To ensure wider dissemination of the new varieties, the project collaborates with private sector partners to multiply the variety in laboratories.  
The interventions of the cooperatives involved will, improve in the governance of the cooperatives and increase the efficiency of the banana sector in a cooperative spirit, favorable to the producers, resulting in smallholder farmers' income increase.",,,,,,,,,,,,,,,,
Building Back Better: Organic Agriculture for Smallholder Farmers in Northern Cambodia,,,,,,,,Cambodia,Under Preperation,Public,WFP,2021,,1.79 million,agriculture,"Solution
In Cambodia, a $1.79 million grant to Cambodian Agriculture Cooperative Corporation Plc. (CACC) will support smallholder farmers’ recovery from COVID-19 in the most impoverished provinces of the country, by developing value chains and improving food security and nutrition.  
The project will do so by supporting boosting smallholders’ income, the majority of whom are female and members of ethnic minorities, and their business acumen by incentivizing them to switch to an increasingly profitable organic farming model relying on a growing market and supported by an integrated value chain. 
The activities will also focus on providing access to credit via low-interest loans and the establishment of a traceability system and marketing. Finally, there will be a focus on enhancing nutritional outcomes through social and behavior change communication on nutrition and life skills for women of reproductive age. The project will be implemented over four years 
The investment is justified as following the pandemic the market for organic food, has further grown in response to heightened consumer demands for safe and healthy food. Prices of organic commodities are higher and more stable than traditional commodities, thus creating opportunities for higher margins and steadier sources of income.  
This project is a partnership between the Cambodian Agricultural Cooperative Cooperation Plc. (CACC) and the World Food Programme (WFP). CACC is an innovative Public-Private-Producer Partnership (P4) joint venture that brings together different actors of the organic value chain including private sector companies and 36 independent producer organizations and the Preah Vihear Meanchey Union of Agricultural Cooperative (PMUAC), which together represent a total of 5,462 farmers, 65% of whom are female. CACC aims to empower smallholder farmers to increasingly benefit from greater value chain participation and empower them to evolve from suppliers to entrepreneurs.",,,,,,,,,,,,,,,,
Support Project for the Promotion of Agricultural Entrepreneurship and Food Security for Local Producers’ Organizations in the DRC,,,,,,,,Democratic Republic of Congo,Under Preperation,Public,IFAD,2021,,1.65 million,agriculture,"Solution
In the Democratic Republic of Congo, a $1.65 million grant will sustainably improve smallholder farmers’ income and food security affected by the COVID-19 and climate change crises, by supporting COPACO-PRP members in developing the cassava and maize value chains in five targeted agricultural production basins, suppliers of agricultural food products for the city of Kinshasa.
The project will do so by strengthening agricultural production and processing units and by developing a partnership with agricultural research institutions, financing institutions, and market sector actors. It will also enhance the capacity building of national and local producer organizations'  leaders and support local PO entrepreneurship in the development of the cassava and maize value chains and sector structuring.
The project will target five agricultural production basins of the DRC: Plateau de Batéké in Kinshasa, Kasongo-Lunda and Kenge in Kwango, Bulungu and Masi-Manimba in Kwilu and Muanda in Kongo Central. These five areas have been chosen by COPACO-PRP according to accessibility, a climate favorable to crop production, anticipated annual production volumes, and the presence of active local POs.
Building on lessons learned from former and on-going projects, proposed activities support enhancing of collective economic actions at local PO level, while strengthening specific institutional and technical support capacities of the lead PO. This project primarily targets 20 active cassava and maize local POs, member of COPACO, to sustainably improve the income and livelihoods of 4,544 individual agricultural producers, of which 60% are women and 36% are youth.",,,,,,,,,,,,,,,,
Promotion of Resilient Agroforestry in Grand’Anse: Scaling up and Professionalizing Small-Scale Initiatives to Build Back Better  ,,,,,,,PAM/HAI/PROG/0058/09-2021,Haiti,Under Preperation,Public,WFP,2021,,3.0 million,agriculture,"Solution
In Haiti, a $3.0 million grant to Réseaux des Organisations de Producteurs et Productrices de la Grand’Anse (ROPAGA) will increase smallholder farmers’ food security and resilience inGrand’Anse, one of the poorest regions of Haiti mainly active in the agricultural sector, bysupporting them to build back better and sustain farmers’ livelihoods in a post-earthquake and climate change context.  
The project intends to do so by scaling up ROPAGA’s current efforts, improving food security and resilience to climate shocks through Agroecological practices, including agroforestry techniques, improved livestock management, and beekeeping. To increase their incomes and build their resilience to climate shocks, through local production and marketing of productive and drought- and flood-resilient varieties of fruit and tubers. The project will also improve access to wider market and transformation opportunities, by linking producers to local private sector entities, as well as their access to agricultural finance and agriculture-related ventures.  by developing a line of agricultural credit that will allow farmers to make productive investments and provide sustainable revenue sources for the PO’s future self-sufficiency.  
ROPAGA’s Agroforestry and Resilience project, will work in in partnership with ActionAid and WFP to target current barriers faced by farmers in a cohesive program designed to take advantage of both the localized knowledge and community reach of local organizations and the economies of scale and opportunities of access to well-established organizations like ROPAGA and ActionAid. This project will enable ROPAGA to build on and scale-up its current efforts in two of the communes most affected by the August 2021 earthquake, and it will target 10,000 small farmers.",,,,,,,,,,,,,,,,
"Strengthening Capacities for Climate Resilience and Economic Empowerment of Rural, Smallholder Producers in the Dry Corridor  ",,,,,,,,Honduras,Under Preperation,Public,FAO,2021,,2.13 million,agriculture,"Solution
In Honduras, a $2.13 million grant to Alternative Community Economy Network (COMAL) will improve climate resilience and food security through economic empowerment and agricultural system transformation in three target areas in Dry Corridor, characterized by high poverty rates that suffered large livelihood losses due to COVID-19.   
The project will do so by focusing on developing value chains (avocado, vegetables, and honey) through agroecological approaches and improved market access, the project will build strong connections between smallholder farmers and local businesses and companies and will leverage existing relationships with dynamic markets at the national level., promoting food security and nutrition by diversifying smallholder farms and educating families about healthy food consumption. The project will bring smallholder farmers and companies together to create strategic alliances and partnerships in order to promote and sell their products. The project will also promote the financial inclusion of cooperatives and smallholder farmer organizations to strengthen territorial development. Cross organizational dialogues and advocacy around good governance will be conducted. Restoring livelihoods and local economies using a territorial development approach that includes productive and financial inclusion will improve adaptation capacities in a changing environment strongly affected by COVID-19. 
The project will employ an integrated and cross-sectoral approach to gender issues and will involve the participation of women's groups. Women will be empowered to participate and take on leadership and decision-making roles in cooperatives and organizations. Indirectly, the project addresses food and nutritional security issues, as well as offers alternatives to cross-border migration and organized violence linked to unemployment, underemployment and food insecurity.",,,,,,,,,,,,,,,,
Strengthening Producer Organizations in Kyrgyz Republic  ,,,,,,,,Kyrgyz Republic,Under Preperation,Public,"FAO , World Bank",2021,,5 million,agriculture,"Solution
In the Kyrgyz Republic, GAFSP funds totaling $5 million will strengthen producer organizations, farmers’ organizations, and agribusinesses to expand their productive and organizational capacity, improve their climate resilience, and participate in emerging agri-food clusters. GAFSP financing will support the strengthening of the existing producers' groups and facilitate their integration into selected value chains. By addressing organizational development deficiencies, linking targeted technical training and technology promotion, and improving readiness to embrace markets, groups can become more effective value-chain actors and credible partners for upstream and downstream stakeholders.     
The GAFSP financing would fill an important investment gap to complement ongoing investments in the agriculture sector, by providing targeted, catalytic funding to increase the capacity of farm and producer organizations to maximize their limited resources and better participate in value chain opportunities. The project will target a range of groups or associations operating within the dairy and horticulture value chains, which the Government has identified as the most in need of more organized producer associations. These value chains represent the highest potential for growth and resilience building, their nutritious products are not consumed in adequate quantities, and where the need for more organized producer associations with a special focus on women and youth is most acute.",,,,,,,,,,,,,,,,
Agriculture for Nutrition – Phase 2 (AFN II),AFN II,,,,,,,Lao PDR,Active,Public,"IFAD , WFP",2021,,17 million,agriculture,"Solution
In Lao People’s Democratic Republic, $17 million in GAFSP funding will improve and diversify vulnerable communities’ nutritional and socio-economic situations, adopt gender-transformative practices, build resilience to climate conditions, and improve production and marketing capacities.  
The AFN-II builds on the lessons learned and the achievement of the first phase project. AFN-II project interventions will continue to focus on the implementation of the four nutrition-sensitive agricultural activities within the 23 priority interventions under the new “National Plan of Action on Nutrition” (NPAN) 2021-2025. The project will specifically empower women to sustainably achieve better household nutrition outcomes, particularly for pregnant women and lactating mothers and children up to the age of 5 years, through the implementation of nutrition-sensitive agriculture interventions and sustainable management of the available natural resources in the communities. This will be achieved through the implementation of three interlinked project components. 
The project will have three interlinked components aimed at addressing the sustainable, inclusive, and resilient recovery of the country’s agriculture and food systems in the context of the ongoing COVID-19 pandemic, namely: (1) Community-driven agriculture and nutrition interventions promoting the use of natural resources; (2) Business Partnerships and Market Access improvement; and (3) Enabling environment.",,,,,,,,,,,,,,,,
Strengthening Agribusiness Producer Organizations in the Maldives through Enterprise Ecosystem Development and Deployment of Digital Solutions ,,,,,,,,Maldives,Under Preperation,Public,FAO,2021,,2.64 million,agriculture,"Solution
In the Maldives, a $2.64 million grant to Addu Meedhoo Cooperative Society (AMCS) will develop economically viable PO members, empowering them to take a stronger role in the agriculture value chains of the country. The project aims to do so by strengthening the governance and managerial capacity of AMCS and PO members and developing PO Enterprises. This will result in a resilient and robust food system, help overcome the severe impacts of climate change, and help build back better from the impacts of COVID-19. The project will use climate-smart technologies to reduce the use of soil and environment degrading agricultural practices, cut down on food wastage and maintain the nutrition quality of harvested products. Through a partnership with island-level schools, health centers and NGOs, the project will conduct nutrition outreach sessions and support school garden programs. It incorporates a performance-based approach to strengthen entrepreneurial skills to create a thriving and robust ecosystem of POs, enabling their medium to long-term sustainability. The project will ensure that more women farmers take a leadership role in the management and governance of farmer organizations in their respective island communities. The PO will also work with academic institutions for policy research, assessments and surveys to be used in the policy formulation process. 
Working on 16 islands, the project will benefit about 3,500 farmers and 18,550 people with improved nutrition and food security.",,,,,,,,,,,,,,,,
Vegetables in Hilly Areas Project ,,,,48218-006,,,,Nepal,Under Preperation,Public,"ADB , WFP",2021,,12 million,agriculture,"Solution
In Nepal, an investment of $12 million will improve the livelihoods and food security of poor households in targeted communities and enhance their access to agriculture markets and financial services.  
The key results from the project would include: (i) household income from horticulture production increased; (ii) linkages to markets and financial services improved; (iii) dietary diversity among women in participating households increased, and (iv) resilience of farmers to climate change improved.  
The project will support poor households with less than 4 ropani (0.2 ha) of agricultural land particularly, women-headed households, women within poor households, and ethnic women, for the development of irrigated OSV production. The project will be implemented in 100 municipalities across 5 provinces that have been selected for their suitability for horticulture development and access to the Mid-Hills highway and its north-south feeder roads. Ethnic people form approximately 30% of the population in the targeted municipalities, are often poor and would be proportionally represented in the project. At least 60% of the people benefitting will be women, who, along with other family members, including youths, will be supported to organize in various ways to better access technical and nutritional knowledge, and crop inputs, finance, and markets.  
The project will be aligned with the planned US$83 million ADB-financed Nuts and Fruits in Hilly Areas (NAFHA) project. Activities to be implemented under the GAFSP grant are organized under the following three components: 1) farmer identification, capacity building, and organization; 2) smallholder farmers’ out-of-season vegetable production and beekeeping increased; and 3) market access enhanced.",,,,,,,,,,,,,,,,
"Resilient, Inclusive, and Transformative Recovery of Small Farmers, Women, Youth and Indigenous People in the Dry Corridor of Nicaragua ",,,FAOR/LC/FD/120/2021,,,,,Nicaragua,Under Preperation,Public,FAO,2021,,3.21 million,agriculture,"Solution
In Nicaragua, a $3.21 million grant to the National Union of Farmers and Ranchers (UNAG) will increase agricultural income and food security for smallholder farmers and aid recovery from COVID-19 impact in selected areas of the Dry Corridor. The specific objectives are to increase agricultural productivity and improve the use of natural capital through the adoption of sustainable production, access to the market as well as greater access to complementary value-chain services including finance. 
The project will do so specifically by strengthening the PO members through capacity assessment, participatory strategic development, and training. It will also increase the resilience and productivity of agricultural and livestock-raising systems, promoting sustainable and climate resilient production through farmers’ training, biointensive gardens and nutrition, irrigation, and other sustainable agricultural practices. Finally, the project will promote economic opportunities for members of cooperative organizations affiliated with UNAG, with emphasis on young adults, women, and indigenous, providing access to information, financing, and markets, including activities in favor of women and youth. The project will be implemented over a three-and-a-half-year period. UNAG will be in charge of implementation through 192 affiliated Producer Organizations (PO) in 14 municipalities. The target population is 10,000 farmers, all of whom are organized in cooperatives and associations affiliated with UNAG. The intervention will focus on the provinces of Matagalpa, Estelí, and Madriz, specifically on 14 municipalities and directly benefiting 4,369, of which 43% are women, 27% youth, and 13% indigenous.",,,,,,,,,,,,,,,,
Strengthening Farmers’ Organizations to Develop Sustainable Livelihoods ,,,,,,,,Niger,Under Preperation,Public,FAO,2021,,2.71 million,agriculture,"Challenge
In Niger, a $2.71 million grant to Fédération des Unions de Groupements Paysans du Niger (FUGPN-Mooriben) will improve the income, food security, and nutrition by strengthening grassroots POs and their unions, emphasizing women and youth as drivers of economic and social development.  
This project will carry out activities with a particular focus on capacity building related to responsible investment in agriculture and food systems, which includes improving farmers' organizations' access to value chains and financing. In particular, Mooriben will help strengthen farmers' capacities to invest and benefit from investments and to manage and undertake sustainable and resilient income-generating activities. To this end, the project will bring innovative technologies and an inclusive approach and will seek to support quality food system products that are competitive in local and national markets. Furthermore, it will seek to create and support employment for women, particularly young girls who are experiencing high migration to large urban centers. 
The project seeks to strengthen the capacity of POs so that they can help their members integrate the various linkages in the value chains, with respect for transparency, inclusion, and participation, particularly among women. The project will also enable FUGPN-Mooriben, the leading PO; to strengthen all participating POs members through a series of modules that will include a core curriculum on organizational management, leadership, governance, negotiations, financial management, accounting, and communications.  
Through this project, FUGPN-Mooriben will help each Union/PO to identify its own value chain initiative to undertake as an organization using the FAO inclusive value chain development approach or to improve initiatives currently being implemented by Unions or POs, particularly those focused on technological innovation and improving market access. Special attention will be given to women and youth who have fewer opportunities to access productive assets.",,,,,,,,,,,,,,,,
"Support to the Improvement of Rural Family Poultry Farming in Departments of Mbour, Fatick and Kaolack ",,,,,,,,Senegal,Under Preperation,Public,IFAD,2021,,2.29 million,agriculture,"Solution
In Senegal, a $2.29 million grant to National Council for Concertation and Rural Cooperation (CNCR) will increase the income of young entrepreneurs and their families' food and nutrition security by increasing agricultural productivity and strengthening poultry Producer Organizations. The project will do so by increasing productivity and family poultry production sustainably, to remove the genetic, health, food, technological and organizational constraints, resulting in increased village poultry productivity while also improving marketing and institutional strengthening of poultry producer organizations. For instance, by supporting the establishment of small formalized rural poultry businesses and providing technical and managerial capacity building for young women and men village poultry entrepreneurs, Other activities include facilitating access to basic investments, working capital, and poultry inputs; facilitating animal health services and breeding advice support; supporting the installation of small poultry feed manufacturing units based on local raw materials in the project intervention area. By developing poultry, which is a short cycle activity that can be repeated several times in a year, it is possible to support rebuilding the asset base of the rural economy. The project will build on the achievements of previous initiatives that developed poultry habitat models and strengthened the capacities of poultry farmers. The project considers family farms as the target population and will support up to 1,400 young women (75 percent) and men (25 percent) village poultry entrepreneurs, aged 20 to 35.",,,,,,,,,,,,,,,,
Post-COVID Food and Nutrition Security Enhancement Project (PRESAN/PC) ,PRESAN/PC,,,,,ADB/BD/WP/2022/208/,,Senegal,Under Preperation,Public,AfDB,2021,,20 million,agriculture,"Solution
In Senegal, GAFSP funds totaling $20 million will enhance food and nutrition security and increase smallholder farmer incomes in five targeted regions. Specifically, the project will (i) improve the income and building the food and nutrition security of small farmers, through water management, increased productivity sustainable development of plant and animal productions, (ii) provide private sector development opportunities, in line with investment plans to support national efforts for medium- and long-term response to COVID-19 and resilience to climate change. 
Through its main three components, the project aims to achieve results by building sustainable hydro-agricultural and pastoral infrastructure and supporting production and capacity building. The project covers the 5 administrative regions of Louga, Matam, Kaffrine, Kaolack, and Tambacounda. From north to south, the 5 regions cover two agro-ecological zones of Senegal: the silvopastoral zone and the peanut basin. Furthermore, compared to the three regions covered by PASA LouMa-Kaf, the districts of Nioro and Koumpentoum are the extension area of the project when it comes to the new regions.  
The project’s priority targets will be local small farmers, youths and women, and people with disability living in the project’s 5 intervention regions. Emphasis will also be laid on the most vulnerable groups, including women, youths, and the elderly. Overall, nearly 40,000 farmers and other target populations will be directly impacted by the project, including over 24,000 women (60% of the project target) and about 12,000 youths (30% of the project target).",,,,,,,,,,,,,,,,
Agricultural Investment for Markets and Nutrition in Solomon Islands and the Republic of Vanuatu ,,,,,,,,Solomon Islands,Under Preperation,Public,"FAO , IFAD",2021,,15 million,agriculture,"Solution
In the Solomon Islands and Vanuatu, GAFSP funds totaling $15 million will support a multi-country project to improve nutrition and increase farm incomes from resilient farming systems in rural communities.  
The project will support the Governments of the Solomon Islands and Vanuatu to implement selected elements of their agriculture sector investment plans and COVID response measures that directly contribute to the sustainable, inclusive, and resilient recovery. The project addresses the three inter-related problems of poor nutrition, low farm incomes, and the vulnerability of local agri-food systems to shocks which include pandemics, natural disasters, and climate change. The project will develop the capacity of the extension services in both countries to more effectively reach out to small farming communities through teams of locally recruited community facilitators. The extension services will partner with service providers, often NGOs, with a proven track record in community mobilization and in value chain facilitation. Capacity will also be developed for producer groups.  
Value chains will be strengthened through partnerships between producer groups and private businesses. Interventions will address institutions (networks, partnership agreements, flow of information including use of digital technology) and hardware (e.g. processing, storage, and small-scale transport or market infrastructure). Project-funded investments of the producer groups are expected to create a conducive environment for investment by the private sector partners. By itself, the production of perishable produce for urban markets cannot sustain adequate farm incomes for many island communities. While the project will focus on nutritious food crops and small livestock, the project will also invest in the production and marketing of cash crops in order to encourage sustainable practices and enhance the self-reliance and resilience of private farmers.  
The project adopts a community-driven approach based on experiences across the Pacific demonstrating the importance of alignment with traditional social practices, collective decision-making, and shared interests of targeted households. Addressing the social structure of production (including land and labor allocation, which is influenced greatly by community leaders) has proven invaluable for social inclusion, including access and targeting of women and youth as well as poorer or more disadvantaged households. This strategy will be implemented through three inter-dependent components, focused respectively on community action, capacity building, and investments.",,,,,,,,,,,,,,,,
Rural Enterprises for Agricultural Development (READ)  ,READ,,,,,,,South Sudan,Under Preperation,Public,IFAD,2021,,20 million,agriculture,"Solution
In South Sudan, $20 million in funding will enhance the capacity of Producer Organizations to improve social cohesion and serve as effective value chains actors and partners.  
The project aims at responding to critical growth and development challenges confronted by smallholders by supporting the development of rural producers’ organizations as effective value-chain actors and credible partners. The READ project aims at fostering the holistic development of rural producers’ organizations, by promoting good governance and accountability systems vis-à-vis their constituencies, enhancing their sustainable business models and economic initiatives and strengthening their capacity to provide services to farmers including facilitating access to financial services, technology, inputs and markets. READ also aims to contribute to the peace, recovery and stabilization agenda by strengthening the social fabric within communities and creating livelihood opportunities for the rural population, including returnees and IDPs. READ will be implemented through a conflict sensitive lens, whilst ensuring inclusion and empowerment of youth and women. 
READ will invest in differentiated approaches to capacity development of existing rural people’s institutions with the aim of promoting farming as a business. It will do so through a holistic approach for RPOs development, supporting existing formalized organizations such as cooperatives, and adopting a graduation approach for the less structured Agriculture Producers’ Groups (APGs), including women and youth groups, to equip them with assets and capacities needed to promote equitable and sustainable market linkages for rural producers. Women’s empowerment will be central in the project – given women’s prominence in the agriculture sector and their marginal role in decision-making processes, at household, community and at interest groups levels. Project support will place a deliberate focus on economic activities that are capable of improving the nutritional status of RPO members and their households, while strengthening their resilience and adaptation to climate change. 
The project will invest in the development of inclusive rural financial services, to ensure the RPOs supported have access to long-term viable financial services beyond the READ project period. This will consist, in the target areas, support to Savings and Credit Cooperative initiatives deepening access to credit for agriculture through a partnership with the Cooperative Bank of South Sudan. Furthermore, the project will support effective implementation of the relevant policy frameworks regulating the cooperative sector and rural financial inclusion.",,,,,,,,,,,,,,,,
Improvement of Food Systems Supply Service in Rural Tanzania in Adaptation to COVID-19 Project,,,,,,AHAI.1/LET/AB/2021/09/07/003,,Tanzania,Under Preperation,Public,AfDB,2021,,2.5 million,agriculture,"Challenge
In Tanzania, a $2.5 million grant to Mtandao wa Vikundi vya Wakulima (MVIWATA) will increase household incomes, address nutritional challenges arising from COVID-19, and reduce post-harvest losses by developing food supply services around horticulture production areas.  
The project will revamp rural economies which have been adversely affected by COVID-19 by increasing production, marketing, and supply services on horticultural produce value chains, especially on fresh vegetables and spices and the professionalization of MVIWATA Market Companies (MMC) and rural SMEs in and around existing rural bulk markets. The project will build on the existing initiatives and experiences of MVIWATA in rural markets and consequently contribute to improving diets for coping with COVID-19 nutritional demands, climate change mitigation strategies and gender equality while attaining sustainable income generation. As a result, project activities will improve the local horticultural produce supply and unlock market failures, which have been exacerbated by the COVID-19 pandemic and the long-term climate change effects through the on-farm improvement of horticultural commodities, and market improvement in food supply services, and professionalization of the rural market companies and rural SMEs. 
Professionalization of smallholder producers’ rural SMEs and MVIWATA market companies will improve the business transactions capacity of smallholder producers to serve the sub-urban and urban consumers, bridge the food supply gap arising from the COVID-19 pandemic and enhance gender-equitable value chains while increasing institutional, national and global efforts on poverty reduction, climate resilience and building long-term solutions to food supply and security in both rural and urban areas.",,,,,,,,,,,,,,,,
Strengthening Productive Capacity and Resilience of Smallholder Sweet Potato Producer Organizations in Uganda  ,,,,,,,,Uganda,Under Preperation,Public,World Bank,2021,,2.4 million,agriculture,"Challenge
In Uganda, a $2.4 million grant to Soroti Sweet potato Producers and Processors Association (SOSPPA) will build the resilience of the rural economy and livelihoods in select regions of Eastern Uganda by improving farmers’ market access and providing processing and value-addition support while also increasing productivity and production of select crops. It will do so by increasing productivity and production of sweet potato roots and vines, and other nutritious crops, and provide improved access to the market. The project will also promote diversified utilization and consumption of potato products amongst SOSPPA members and in current and new markets. Finally, the project will strengthen the organizational capacity and professional performance of the SOSPPA to support their member farmers. 
This project will also result in better food, nutrition, and income security. The project will target 2,700 farmers, with 50% women. Moreover, 17,500 caregivers will be provided healthy baby toolkits and trained on their use to improve the feeding of potato puree and other nutritious diets (porridge). The project will harness the experiences of the Uganda Multi-Sectoral Food Security and Nutrition Project (UMFSNP) – GAFSP funded project, and other projects, and build on the ongoing Agriculture Cluster Development Project’s (ACDP) value chain development initiative.",,,,,,,,,,,,,,,,
Promotion of Gender-sensitive Agricultural Value Chains and Women's Entrepreneurship in Support of the Program to Support Agricultural Transformation in Mauritania (PCVASGEF-PATAM),PCVASGEF-PATAM,,,,,RDGN.2/LTR/2021//09/03-1/RM,,Mauritania,Under Preperation,Public,AfDB,2021,,17 million,agriculture,"Challenge
In Mauritania, an investment of US$17 million will contribute to the improvement of food and nutrition security and the living conditions of the target populations in the regions of Brakna and Trarza. The expected project objective is to increase productivity, add value to agricultural products and support the empowerment and promotion of entrepreneurship of women and girls. In order to achieve its objectives, the PCVASGEF project will emphasize the economic empowerment of women and girls and the promotion of female entrepreneurship. Specifically, the project will develop women’s market gardening areas, fodder reserves, and the construction of feeder roads, among other activities to support structural and resilient facilities. Additionally, the project will develop value chains and entrepreneurship of youth and women by constructing irrigated platforms, vegetable packaging, and storage units, help build the technical and management capacity of women cooperatives, as well as support the establishment of off-ground nursery techniques and greenhouses. 
Solution
The project will target mainly women farmers and young people who are potential entrepreneurs with innovative initiatives in the agricultural value chain. Overall, the project will benefit 22,222 households, while indirectly benefitting nearly 90,000 people, in the proposed target areas of Brakna and Trarza regions.""Food Security Support Project in Louga, Matam and Kaffrine Regions (PASA/Lou-Ma-Kaf)",,,,,,,,Senegal,Active,Public,AfDB,2012,,40 million,agriculture,"Challenge
Senegal remains one of the poorest countries in the world and is ranked 162 out of 187 countries under the Human Development Index. Although contributing only about 18% of GDP, the agricultural sector employs more than 50% of the workforce. Senegal continues to rely on rain-fed agriculture, with only 5% of the land irrigated, but subsistence rain-fed agriculture in a semi-arid zone is highly vulnerable to drought, soil degradation, and to the effects of climate change. Less than 2% of cultivated areas are irrigated, despite huge potential in surface and run-off water. 
Solution
PASA-Lou/Ma/Kaf works to improve food security, rural incomes, and resilience to climate change among three weather hazard-prone regions with nearly 2 million inhabitants and more than 3 million ruminants. Through access to water and sustainable inputs, land tenure security, and improved soil fertility, the project improves small-scale producers’, women’s, and farmers’ organizations’ access to a wide range of agricultural and livestock infrastructure. These include drip irrigation through boreholes and market gardens, mini-boreholes and wells, lowland development for rice and horticultural farming developed through the sills and anti-salt dams, and constructed or rehabilitated livestock boreholes equipped with drinking troughs. The project also strengthens mechanisms for extension services, supports advisory services in developed sites, supports the creation of jobs for youth, organizes producers (i.e. farmers and breeders), and processes and markets produce."
Agriculture Productivity and Nutrition Improvement Project (APNIP),APNIP,,,,,,,Kyrgyz Republic,Active,Public,World Bank,2012,,38 million,agriculture,"Challenge
After the collapse of the Soviet Union in 1991, the Kyrgyz Republic was an early adopter of land reform. Currently, the country’s agriculture sector is driven by small-scale irrigated agriculture and pasture-based livestock production. Two-thirds of the rural population are employed in the sector, with the average farm size less than 1 hectare and small-scale farmers owning most livestock. The majority of these rural households are dependent on crop and livestock sales for their livelihoods. However, food insecurity is high and fluctuates both seasonally and regionally, particularly among children and women. Most food-insecure households rely on a single income and have small household plot sizes and limited livestock. Adverse climatic conditions mean that irrigated agriculture has a major influence on production, rural household incomes, and, consequently, on food security. 
 
Solution
APNIP increases agricultural productivity and food security among rural households in select areas by rehabilitating irrigation and drainage infrastructure. Project-improved irrigation service delivery at farm level has enabled water users’ associations and farmers to improve water management, providing agricultural advisory services and training for improved irrigated crop production and marketing and on-farm water management. Nutrition interventions have been scaled up, including community-level nutrition awareness programs and information about improved domestic gardening to increase dietary diversity. More than one half of the targeted farm households irrigate less than one hectare of land, and 20% are female-headed households.",,,,,,,,,,,,,,,,
Expanding Rice Production Project (ERPP),ERPP,,,,,,,Tanzania,Closed,Public,World Bank,2012,,22.9 million,agriculture,"Challenge
In Tanzania, the agricultural sector is a key driver of social and economic development, generating 25% of GDP, 24% of exports, and employing over 75% of the population – particularly in rural areas where poverty and food insecurity are highly concentrated. Smallholder farming is characterized by the use of rudimentary tools like the hand hoe and reliant on traditional rain-fed cropping method and animal husbandry. Food is the principal sub-sector, dominated by smallholder subsistence farmers with 0.2 to 2.0 hectares who utilize 80% of the cultivated arable land to produce both food and cash crops. However, most farmers can only produce one crop a year because of poor irrigation infrastructure and water management.
Solution
ERPP increases rice production and marketing in targeted areas of Morogoro on the Tanzanian mainland and on Zanzibar, leading to improved rural incomes and food security, and contributes to climate change adaptation by supporting improved irrigation and water management systems. To do this, the project carries out activities to ensure sustainable seed systems, improve crop productivity through better irrigation and crop management, employ innovative marketing strategies, efforts to manage the irrigation scheme as a block, facilitate bulk purchase of inputs, and coordinate crop sales through a warehousing program. Further, the project promotes improved water use efficiency in irrigated rice production by supporting the System of Rice Intensification, which can reduce water use by up to 50 percent; supports provisions of marketing infrastructure and strengthening market linkages and information; and trains farmers on paddy post-harvest activities and marketing. Project monitoring systems evaluate the participation of female farmers in the targeted irrigation schemes and ensure that women do not lose access to land when productivity and incomes rise.",,,,,,,,,,,,,,,,
