ID,Title,Country,,Type,Status,,Approval Date,Committment Amount,,Sector,Subsector,Category,Indigenous Peoples Category,Category,Responsible ADB Department,Executing Agencies,Responsible ADB Officer,Summary
47243-005,Rural Connectivity Improvement Project - Additional Financing,Bangladesh,Sovereign,Loan,Active,3932,6/11/2020,"100,000,000.00","Nation-wide, Dhaka","Agriculture, natural resources and rural development",Rural market infrastructure,B,C,C,South Asia Department,Local Government Engineering Department,"Das, Amrita Kumar","The proposed additional financing will scale up the current output 1 by adding approximately 930 kilometers of rural roads. 
The current project (i) upgrades about 1,700 kilometers of rural roads to all-weather standards with climate resilience and safety features in 34 districts in five divisions; (ii) improves capacity of the rural infrastructure agency; and (iii) upgrades the national rural road master plan using a geographic information system. It will have the following outcome: transport efficiency and related employment generated in target areas increased. The outputs are (i) rural road conditions between selected rural communities, productive agricultural areas, and socioeconomic centers improved; (ii) capacity of rural infrastructure agency and road users in project areas enhanced; and (iii) rural road master planning enhanced. The executing agency is the Local Government Engineering Department (LGED) in the Local Government Division of the Ministry of Local Government, Rural Development and Cooperatives (MOLGRDC). A Dhaka-based project management unit within LGED supports project implementation, and there are five project implementation units at division level, 34 offices at district level, and 180 site offices at subdistrict level.
"
51396-001,Coffee and Agroforestry Livelihood Improvement Project,Timor-Leste,Sovereign,Grant,Active,9209,5/28/2020,0,"Aileu, Ainaro, Bobonaro, Ermera, Liquica, Manufahi","Agriculture, natural resources and rural development",Agricultural production,C,C,C,Southeast Asia Department,Ministry of Agriculture and Fisheries,"Dina, Stefania","The Coffee and Agroforestry Livelihood Improvement Project is an innovative project to improve the livelihoods of Timor-Leste's coffee farmers. The project will underpin implementation of Timor-Leste's new Coffee Sector Development Plan and pilot a new model for delivering training to 2,000 coffee farming households in the Aileu, Ainaro, Bobonaro, Ermera, Liquica, and Manufahi municipalities. These households will receive training on good agricultural practices for production of coffee and related crops and assistance with access to finance. The project will also strengthen industry management and support initiatives to improve coffee quality and linkages with key markets. The project will support Timor-Leste's post COVID-19 economic recovery by helping to improve rural livelihoods. The project is aligned with the ADB Strategy 2030 operational priorities of addressing remaining poverty and reducing inequalities, and promoting rural development and food security."
50236-002,Sustainable Rural Infrastructure and Watershed Management Sector Project,Lao People's Democratic Republic,Sovereign,Grant | Loan,Active,0659 | 0660 | 3817,5/19/2020,"45,000,000.00","Houaphan, Luang Prabang, Vientiane, Xiangkhouang","Agriculture, natural resources and rural development | Health",Agricultural production | Irrigation | Water-based natural resources management | Nutrition,B,B,B,Southeast Asia Department,Ministry of Agriculture and Forestry (MAF),"Sadeghi, Niloofar","The project is intended to address issues of PRI and watershed management in mountainous provinces of Northern Lao PDR by using an integrated land use planning approach that integrates efficient, sustainable and climate resilient rural infrastructure, and feasible watershed protection measures. For an ecosystem based sustainable rural development, infrastructure and the watershed have to be considered simultaneously. The expected impact of the project will be to achieve sustainable and inclusive rural development. The outcome of the project will be to enhance sustainable, market oriented agricultural production and natural resources management in selected watersheds."
51423-002,Vegetable Production and Irrigated Agriculture Project,Mongolia,Sovereign,Grant | Loan,Active,3895 | 3896 | 9205,2/27/2020,"40,000,000.00",Nation-wide,"Agriculture, natural resources and rural development",Agricultural production | Irrigation,B,C,C,East Asia Department,"Ministry of Food, Agriculture, and Light Industry (MOFALI)","Enkhbold, Enerelt","The project is aligned with the following impact: income generation and enterprise support for smallholder vegetable farmers increased. The project will have the following outcome: efficiency of climate-resilient agricultural production and marketing increased. 
Output 1: Efficient and climate-resilient irrigation infrastructure and management systems installed. The project team will focus on (i) upgrading, modernizing, and climate-proofing irrigation and drainage infrastructure; (ii) strengthening coordination and management of irrigation services, irrigated land, and irrigation infrastructure, including storage ponds to build resilience against prolonged droughts, to ensure efficient, reliable, and equitable irrigation supplies for agricultural land; and (iii) planting trees for shelter belts around the modernized irrigated areas. The team will upgrade, modernize, and climate-proof 12 selected schemes along with directly associated infrastructure to provide irrigation services for 7,000 ha. The project will finance the remodeling and improvement of main, secondary, and tertiary canals or pipes, drainage facilities, field application systems, such as high-efficiency center pivot sprinkler systems and drip irrigation for 240 ha, and associated structures; and, where needed, construction of new access roads and windbreaks. Soum (district) governments will be strengthened to conduct O&M of irrigation systems and will pilot a modern asset management system. The project will create 240 jobs during construction, of which 40% are earmarked for women and 10% for households headed by women; and ensure that all contracts for the 3,094 households to be involved in the farming of new vegetable plots will be co-signed by women.
Output 2: Environmentally sustainable agricultural production systems improved. The project aims to improve food safety, environmental sustainability, and climate resilience of agricultural production systems, focusing specifically on agrochemical residue testing and supporting the implementation of a new law on plant seeds by promoting the introduction of new high-yielding and climate-resilient vegetable seed varieties. The project will support the national Institute for Plant Protection (IPP) with testing equipment and reagents to boost its testing capacity; IPP will be able to handle an additional 4,000 tests to ensure the safety of imported pesticides and to monitor the residues in food products. This is expected to reduce the use of harmful agrochemicals and to build consumer trust in domestically produced vegetables. The project team will coordinate with the national extension center to support four regional crop research institutes (CRIs) by (i) providing equipment and facilities such as climate-controlled growth chambers, storage cool rooms, sheds, fencing, mechanization packages, seed cleaning and packaging equipment, conservation farming equipment, and teaching facilities; (ii) conducting small-scale irrigation rehabilitation and modernization; and (iii) providing greenhouses and low-carbon solutions to extend the cropping seasons and achieve high-value vegetable and quality seedling production. This is expected to increase the production capacity for vegetable seeds by 0.65 tons and for seed potatoes by 10 tons. A total of 20 women researchers and 192 women from CGGs will be given technical support and training on best practices.
Output 3: Technical, institutional, and management capacity and coordination strengthened. The project team will set up 48 CGGs in the 12 irrigation schemes, which target women for 40% of the membership and 25% of leadership positions; and provide training on improved vegetable production for 480 CGG participating farmers, including 40% women, in collaboration with the CRIs. The two main providers of extension services to vegetable farmers will be crop research centers such as the Institute of Plant and Agriculture Science, and a facilitation partner such as a local nongovernment organization. Project-supported CRIs will provide capacity building on good agricultural practice and integrated pest management for farmers' improved management of natural resources with less use of agrochemicals, more use of climate-smart agriculture practices, and better vegetable production, processing and marketing techniques. To further strengthen CGGs, the project will provide mechanization technology packages, all-weather greenhouses with solar-powered heating and long-life films, and small cool rooms for product storage. The equipment will be provided through a combination of ADB loan and JFPR grant to the soum governments, which can then make it available to the CGGs based on predetermined eligibility criteria.
"
50278-002,Community Vegetable Farming for Livelihood Improvement - Additional Financing,Mongolia,Sovereign,Grant,Active,0684,2/12/2020,0,Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production",C,C,C,East Asia Department,"Ministry of Food, Agriculture, and Light Industry (MOFALI)","Hinrichs, Jan F.","The Asian Development Bank approved the provision of assistance on a grant basis from the Japan Fund for Poverty Reduction (JFPR) to the Government of Mongolia in an amount not exceeding the equivalent of $3.0 million for G9192-MON: Community Vegetable Farming for Livelihood Improvement Project on 4 December 2017. The original project became effective on 28 March 2018 and the current project closing date is 30 June 2022.
The overall project will take an inclusive value chain approach to the vegetable farming sub-sector and implement a community farming model. The project is a pilot initiative aiming to improve the livelihood of smallholders involved in vegetable production in four Mongolian aimags. The project will introduce a community farming model, applying improved climate-resilient farming practices and high-level greenhouse technology, strengthening farm-to-market linkages, and integrating farming groups into inclusive agriculture value chains. The additional financing will add value by promoting the integration of greenhouse agriculture high-level technology and innovative solutions into the current project
"
52026-001,Anhui Huangshan Xin'an River Ecological Protection and Green Development Project,"China, People's Republic of",Sovereign,Loan,Active,3888,12/11/2019,"100,000,000.00",Huangshan,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Forestry | Rural sanitation | Urban flood protection | Urban sewerage",B,C,B,East Asia Department,Huangshan Municipal Government,"Fan, Mingyuan",
51359-001,Punjab Water Resources Management Projects,Pakistan,Sovereign,Loan,Active,6027,12/6/2019,"8,320,000.00",Punjab,"Agriculture, natural resources and rural development",Agricultural production | Irrigation,,,,Central and West Asia Department,Irrigation Department of the Government of Punjab,"Zhou, Yaozhou","The project readiness financing will help review the government's priority projects and develop project pipelines for ADB financing. It will improve the readiness of water resources management priority projects by (i) completing the detailed design, and procurement and safeguards documents met with ADB requirements and procedures of the five priority projects; and (ii) improving the capacity of executing and implementing agencies for project implementation readiness. Thus, the project will contribute to the improvement of the irrigation infrastructure that will enhance water availability and increase productivity of the agriculture sector in the Punjab, and subsequently alleviating rural poverty, and improving food security and economic growth."
51159-002,Irrigated Agriculture Improvement Project,Cambodia,Sovereign,Grant | Loan,Active,0681 | 0682 | 3877,12/4/2019,"119,160,000.00","Battambang Province, Kampong Cham Province, Kampong Thom, Takeo","Agriculture, natural resources and rural development",Irrigation,A,C,B,Southeast Asia Department,Ministry of Water Resources and Meteorology,"Lopez, Alvin","The project will assist the Government of Cambodia to (i) modernize and improve the climate and disaster resilience of four irrigation systems in Battambang, Kampong Cham, Kampong Thom, and Takeo provinces to supply water to 43,500 hectares (ha) for 291,847 people, of whom 148,288 (51%) are women; (ii) ensure sustainability of these irrigation schemes by strengthening the institutional and financial capacity of the government staff and farmer water user communities (FWUC) in operation and maintenance (O&M); (iii) improve farming practices for increased agricultural productivity and crop diversification; and (iv) establish a national water resources data management center (NWRDMC), a water resources information system (WRIS), and an irrigation asset management system for better water resources management, planning, operations, and investment."
51242-002,Resilient Community Development Project,Myanmar,Sovereign,Grant | Loan,Active,0678 | 3864 | 9203,11/26/2019,"195,000,000.00","Ayeyarwady Region, Chin State, Sagaing Region, Tanintharyi Region","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Livestock | Rural market infrastructure",B,B,B,Southeast Asia Department,Department of Rural Development,"Dina, Stefania","The Resilient Community Development Project (RCDP) will target areas that are vulnerable to climate and disaster risk (CDR) and will follow a phased, cluster approach, grouping vulnerable townships in the same area. The project has identified clusters of poor townships in regions exposed to CDR using climate projections and 2014 census data. It will benefit about 1.8 million people in 17 townships in Ayeyarwady, Chin, Sagaing, and Tanintharyi. The project will support the Government of Myanmar in strengthening its community-based development (CBD) policies and procedures. It will strengthen community resilience and reduce the food insecurity and poverty of rural people living in vulnerable areas, by building their capacity and providing resources to invest sustainably in climate- and disaster-resilient and market-oriented infrastructure and livelihoods."
52023-001,Henan Dengzhou Integrated River Restoration and Ecological Protection Project,"China, People's Republic of",Sovereign,Loan,Active,3865,11/26/2019,"200,000,000.00",Henan,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Forestry | Rural sanitation | Rural water supply services | Water-based natural resources management | Urban sewerage,B,B,A,East Asia Department,Dengzhou City Government,"Yang, Xiaoyan","The project will implement integrated water resources management (IWRM) focusing on upstream downstream linkages and urban rural integration for the restoration of the Tuan River. The project design will incorporate lessons from previous ADB-financed projects and policy-oriented studies on IWRM, environmental and ecosystem improvement, wetland and lake management and restoration, and urban rural integration in the PRC and other developing member countries. The project will have three outputs: (i) urban and rural water infrastructure in Dengzhou City improved; (ii) ecological zones in Han River restored; and (iii) water resources management capacity enhanced. These outputs will result in the following outcome: water security and environmental sustainability in Dengzhou City improved. The project will have the following impact: living standards in the Yangtze River Economic Belt improved (Yangtze River Economic Belt Development Plan, 2016 2030)"
43253-026,Karnataka Integrated and Sustainable Water Resources Management Investment Program - Tranche 2,India,Sovereign,Loan,Active,3836,10/4/2019,"91,000,000.00",Karnataka,"Agriculture, natural resources and rural development","Irrigation | Rural water policy, institutional and capacity development | Water-based natural resources management",A,C,C,South Asia Department,Advanced Centre for Integrated Water Resources Management,ADB Disclosure,"The investment program will improve water availability in selected river basins in Karnataka by implementing integrated water resources management (IWRM). Output 1 of Project 2 will: (i) prepare the middle Krishna Basin Plan; (ii) expand the state water resources information system; and (iii) continue strengthening WRD staff with IWRM training. Output 2 will modernize the Vijayanagara Channels subproject to: (i) reduce irrigation water consumption; and (ii) improve water delivery service to allow farmers to increase cropping intensities. Under Output 2, the project will also establish and strengthen 30 water user cooperative societies and provide gender sensitization training to WRD staff and WUCS."
52110-001,Livestock Value Chain Development Project,Uzbekistan,Sovereign,Loan,Active,3823,9/25/2019,"150,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Finance",Livestock | Small and medium enterprise finance and leasing,FI,FI-C,FI-C,Central and West Asia Department,Agency for Implementation of Projects in the Field of Agro-Industry and Food Security (AIFSA),"Katayama, Hiroki",
50393-002,Gansu Internet-Plus Agriculture Development Project,"China, People's Republic of",Sovereign,Loan,Active,3820,9/24/2019,"130,767,600.00",Nation-wide,"Agriculture, natural resources and rural development | Information and communication technology","Agricultural production | Agro-industry, marketing, and trade | Rural market infrastructure | ICT industries and ICT-enabled services | ICT infrastructure",B,C,C,East Asia Department,Gansu Provincial Finance Department,"Shen, Xin","The project outcome will be income-generating opportunities from agricultural production and marketing increased. The project has three outputs: (i) comprehensive information service and management platform developed; (ii) agricultural production, processing, storage, and marketing modernized; and (iii) Capacity of Gansu Supply and Marketing Cooperatives Union improved. 
Comprehensive information service and management platform developed. This output will develop data centers with information platforms to process data generated from project facilities established under output 2 for increased production and processing efficiency and for e-commerce marketing purposes. This will include (i) constructing data and training centers, (ii) procuring ICT equipment and technical advisory services, and (iii) training farmers and enterprise staff to build capacity in ICT application in the agriculture production and processing segment. 
Agricultural production, processing, storage, and marketing modernized. This output will (i) establish demonstration agricultural production enterprises for high-value crop production including summer vegetables, potatoes, fruits, and licorice; and forage crop production, in particular mulberry plants; (ii) equip the demonstration enterprises with internet-of-things (IOT) applications for product quality and safety monitoring and increased production efficiency, and coordination with other segments of the agriculture sector; (iii) construct warehouses, cold storage facilities, and market facilities to increase value addition; and (iv) finance ICT and transport equipment to promote an integrated and automated information exchange network for enhanced coordination and quality assurance at distribution, storage, processing, and marketing facilities.
Capacity of Gansu Supply and Marketing Cooperatives Union improved. This output will (i) provide project-related training, including on IOT, to GSSMCU, project implementation unit (PIU), and other related government agency staff in implementing the project; (ii) support study tours, in particular with respect to precision agriculture, modern internet-based marketing, quality control, and traceability; and (iii) promote participation in capacity building and knowledge sharing events. The output will improve the capacity of GSSMCU staff to implement projects and to work within an internet-based working environment.
"
52256-003,Multisector Activities Support Facility,Kyrgyz Republic,Sovereign,Grant,Active,0001,9/16/2019,"10,000,000.00",,"Agriculture, natural resources and rural development | Energy | Transport | Water and other urban infrastructure and services",Rural water supply services | Energy utility services | Road transport (non-urban) | Urban sanitation | Urban solid waste management | Urban water supply,B,C,C,Central and West Asia Department,Ministry of Finance,"Amanova, Ainagul","The facility will finance a series of small-value activities to support and complement larger projects financed by the Asian Development Bank (ADB) in the country. In particular, the facility will fund (i) project preparatory support for design and procurement readiness of ensuing projects; (ii) small pilot projects to demonstrate new technologies, international standards, and management approaches for potential scale-up under ensuing projects; (iii) project implementation support for ongoing ADB projects to ensure the efficient delivery of project outcomes; and (iv) capacity building and supplemental support for completed ADB projects in operation and maintenance (O&M), asset management, facility upgrading to meet critical needs, and post-disaster rehabilitation assistance. 
Activities under the facility will improve the efficiency, sustainability, responsiveness, and readiness of ADB-financed operations. They will contribute to the achievement of the outputs and outcomes of the linked ADB-financed projects. Each activity will be linked to a planned, ongoing, or completed ADB-financed project. Under the current CPS, priority sectors are agriculture, natural resources, and rural development; education; energy; public sector management; transport; and water and other urban infrastructure and services. 
The following outputs will contribute to the achievement of the outputs and outcomes of the linked ADB-financed projects. 
Output 1: Project implementation readiness for ensuing projects improved. The facility will support project preparation, design activities, and institutional strengthening for investments to be financed under one or more ensuing ADB-financed projects, including the Naryn Rural Water Supply and Sanitation Development Program the country's first results-based lending operation planned for 2019 approval. 
Output 2: New technology, innovation, or improvement in design standards pilot-tested. The facility will support pilot-testing advanced technologies and management approaches to reduce life-cycle costs, improve service efficiency and quality, and minimize negative environmental and social impacts. Development of road asset management is an example of a new technology or management approaches activity under the facility.
Output 3: Project efficiency and sustainability enhanced. The facility will enhance project efficiency and sustainability, including capacity and implementation support for ongoing projects, post-disaster rehabilitation, O&M, and upgrading of completed infrastructure investments to conform with up-to-date performance standards. 
The first activity to be financed under the facility and under Output 3 will enhance the sustainability of a completed ADB-financed investment in urban water project. It will support the physical upgrades of the chlorine neutralization unit at the Osh-Plotina water treatment plant, completed in September 2016 under the Emergency Assistance for Recovery and Construction project. The unit will be upgraded to a higher international standard and provide 400,000 people with access to safe and reliable water supply.
"
48096-002,Arghandab Integrated Water Resources Development Project,Afghanistan,Sovereign,Grant,Active,0655 | 0656,9/11/2019,"348,780,000.00",Kandahar,"Agriculture, natural resources and rural development",Agricultural production | Irrigation | Water-based natural resources management,A,C,A,Central and West Asia Department,,ADB Disclosure,"The project will improve the availability and management of water resources in the Arghandab basin in Kandahar province by (i) increasing the storage capacity of the Dahla Dam by raising its height, (ii) increasing the reliability of irrigation water supplies downstream of the dam, (iii) improving agriculture water productivity by providing on-farm support to farmers to improve crop production, and (iv) strengthening institutions in water resource management. Additional benefits associated with raising the dam include hydropower generation, to be undertaken by the private sector; and urban and industrial water supply to Kandahar City and its surroundings, to be undertaken by World Bank."
50387-001,Irrigation Rehabilitation Project,Kazakhstan,Sovereign,Loan,Closed,3813,9/11/2019,"249,800,000.00","East Kazakhstan, Karaganda, Kyzylorda, Zhambyl Oblysy","Agriculture, natural resources and rural development","Agricultural drainage | Irrigation | Rural water policy, institutional and capacity development",B,C,C,Central and West Asia Department,RSE KazvodKhoz,Yaozhou Zhou,"The project will support the rehabilitation and improvement of irrigation networks serving about 171,100 hectares (ha) of land in Kazakhstan's East Kazakhstan, Karaghandy, Kyzylorda, and Zhambyl provinces. The project will promote the diversification from traditional low-yielding and low-value grain crops into high-value cash crops. It will also build the capacity of farmers and KVK for improved water and irrigation management."
52316-001,Emergency Assistance for Rehabilitation and Reconstruction,Indonesia,Sovereign,Loan,Active,3792 | 3793,6/26/2019,"297,750,000.00",Central Sulawesi,"Agriculture, natural resources and rural development | Education | Transport | Water and other urban infrastructure and services",Irrigation | Rural water supply services | Water-based natural resources management | Education sector development | Air transport | Water transport (non-urban) | Urban water supply,B,B,B,Southeast Asia Department,Ministry of Public Works & Housing,"Quincieu, Eric","In line with the Master Plan for Recovery and Reconstruction for Central Sulawesi (the Master Plan), the Emergency Assistance for Rehabilitation and Reconstruction (EARR) will support the Government of Indonesia in building back better critical infrastructure damaged by the devastating disasters in Central Sulawesi Province in September 2018, where a 7.4-magnitude earthquake triggered a near-field tsunami, landslides, and major liquefaction."
50013-002,Sustainable Tourism Development Project,Mongolia,Sovereign,Loan,Active,3787 | 3788,5/24/2019,"38,000,000.00","Nation-wide, Hentiy Aymag, Khovsgol","Agriculture, natural resources and rural development | Industry and trade | Transport",Rural sanitation | Rural solid waste management | Water-based natural resources management | Trade and services | Road transport (non-urban),B,C,C,East Asia Department,Ministry of Environment and Tourism,"Nyamjav, Erdenesaikhan","The project will help transform two national parks in Khuvsgul and Khentii aimags (provinces) as models for economically inclusive tourism and conservation in the protected area network, by improving park infrastructure, sanitation, and capacity to manage tourism growth sustainably. The designs emphasize tourism benefits for communities, protection of natural capital, and climate-resilient facilities; and scale up from previous grant projects in each park."
38412-033,Assam Integrated Flood and Riverbank Erosion Risk Management Investment Program - Project 2,India,Sovereign,Loan,Closed,3755,12/7/2018,"60,160,000.00","Dibrugarh, Kaziranga, Palasbari","Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural flood protection | Rural water policy, institutional and capacity development | Urban flood protection",B,B,A,South Asia Department,Flood and River Erosion Management Agency of Assam,"Yadav, Rajesh","Incorporating lessons from Project 1, Project 2 for $60.16 million will fund a combination of structural and nonstructural measures in the three subproject areas (Palasbari-Gumi, Kaziranga, and Dibrugarh) along the Brahmaputra River in Assam. The structural measures will include: (i) 20 kilometers (km) of riverbank protection works with innovative technologies, combined with 5 km of pro-siltation measures; (ii) upgrade of 13 km of flood embankments; and (iii) construction of four sluice gates and one pumping station to improve drainage. Monitoring and adaptive maintenance of the infrastructure will also be included to cope with the highly dynamic morphological processes of the river. The nonstructural measures will continue the methodologies used under Project 1 and cover community involvement and community-based flood risk management activities."
51081-002,Climate Change and Disaster-Resilient Water Resources Sector Project,Kyrgyz Republic,Sovereign,Grant | Loan,Active,0632 | 3746,11/27/2018,"38,600,000.00",Nation-wide,"Agriculture, natural resources and rural development",Agricultural production | Rural flood protection | Water-based natural resources management,B,C,B,Central and West Asia Department,"Department of Water Resources and Melioration, Ministry of Agriculture, Food Industry, and Melioration","Yoshida, Kazuhiro","The project will strengthen the climate change and disaster resilience of the water sector through: modernized and well-maintained infrastructure, enhanced agricultural and on-farm water management, and improved disaster risk management. The project interventions will be both structural (including civil works and equipment) and non-structural (including capacity building and demonstration activities). The interventions will be focused in the Ferghana Valley in the southwest of the country and the Chui River Basin in the north of the country, which are vulnerable to flooding, landslides (including mudflows), and drought risks that are likely to be exacerbated by climate change."
49404-002,Water Efficiency Improvement in Drought-Affected Provinces Project,Viet Nam,Sovereign,Grant | Loan,Active,0630 | 0631 | 3745,11/26/2018,"100,300,000.00","Dak Nong, Tinh Binh Thuan, Tinh Dak Lak, Tinh Khanh Hoa, Tinh Ninh Thuan","Agriculture, natural resources and rural development",Irrigation,B,B,B,Southeast Asia Department,Binh Thuan Provincial People's Committee,"Vu, Chau V.","The Water Efficiency Improvement in Drought-Affected Provinces Project integrates climate-resilient agricultural practices through a transformational shift in irrigation modernization, including (i) strengthening irrigation management to improve climate resilience, (ii) modernizing irrigation infrastructure, and (iii) supporting efficient on-farm water management practices. Specifically, the project will modernize eight irrigation systems in five drought-affected provinces: Binh Thuan, Dak Lak, Dak Nong, Khanh Hoa, and Ninh Thuan. The modernized systems will enhance the provinces' ability to manage climate variability, improve the water productivity of agriculture, and increase incomes by supporting farmers in growing high-value crops (HVCs) such as coffee, peppers, grapes, apples, dragon fruits, and mangoes. The project was predicated by the El Ni?o Southern Oscillation (ENSO)-induced drought in 2014 2016, which affected Viet Nam's south-central coastal and central highlands regions."
51116-002,Yangtze River Green Ecological Corridor Comprehensive Agriculture Development Project,"China, People's Republic of",Sovereign,Loan,Active,3740,11/16/2018,"300,000,000.00","Chongqing, Guizhou, Hubei, Hunan, Sichuan, Yunnan","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Land-based natural resources management | Water-based natural resources management",B,B,C,East Asia Department,"Farmland Construction and Management Department, Ministry of Agriculture and Rural Affairs","Niu, Zhiming","The proposed project will strengthen rural livelihoods, especially the rural poor who rely most on natural resources as the basis for their primary source of income, to modernize their agriculture production systems and minimize environmental degradation and nonpoint source (NPS) pollution. The proposed project will be implemented in five provinces and one municipality in the upper and middle reaches of the Yangtze River Basin, notably Yunnan, Sichuan, Guizhou, Chongqing, Hunan, and Hubei. The project area consists of 48 counties, which are characterized by the prevalence of low and medium agriculture productivity; high risk and occurrence of soil erosion; high levels of agriculture NPS pollution; lack of irrigation systems; limited farm access roads; and are in need for modernization and were selected for inclusion in the project based on geographical, financial, environmental and social criteria. The project will have three outputs: (i) Modern farming systems applied; (ii) agriculture nonpoint source pollution reduced; and (iii) institutional capacity and coordination strengthened. These outputs will result in the following outcome: sustainable and modern agriculture production systems established in the participating project provinces. The project will be aligned with the following impact: improved environmental protection, rehabilitation, and management of the Yangtze River."
51041-002,Horticulture Value Chain Infrastructure Project,Uzbekistan,Sovereign,Loan,Active,3737,11/15/2018,"197,000,000.00",Nation-wide,"Agriculture, natural resources and rural development","Agro-industry, marketing, and trade | Rural market infrastructure",B,C,B,Central and West Asia Department,Agency for Implementation of Projects in the Field of Agro-Industry and Food Security (AIFSA),"Bui, Giap Minh","The proposed project supports the Government of Uzbekistan's plan to establish horticulture clusters where production and post-harvest services can be consolidated to improve efficiency and economies of scale. It will finance the establishment of agro-logistic centers (ALCs) in two locations Andijan and Samarkand regions considering international best practices. The ALCs will provide all necessary facilities and services in one place: trading, storage, processing, food safety certification, customs clearance, transport, shipping, marketing advisory services, trade finance, and commercial banking. Significantly larger volumes of product with improved quality will be marketed as a result of better post-harvest logistics that will facilitate reduced post-harvest losses and increased domestic sales and exports. The ALCs will enhance value chain linkages with production, post-harvest processing, and handling following international quality and safety standards. Increased export and domestic marketing of horticultural products will increase price transmission to small-scale producers and small and medium-sized agribusinesses. It will also diversify the country's agriculture from cotton to horticulture, which generates higher financial and economic returns and involves fewer social and environmental concerns."
51039-002,Horticulture Value Chain Development Sector Project,Afghanistan,Sovereign,Grant,Active,0620,10/30/2018,"75,000,000.00","Bamyan, Ghazni, Kabul, Khost, Kunar, Laghman, Logar, Nangarhar, Paktia, Paktika, Wardak","Agriculture, natural resources and rural development","Agricultural production | Agro-industry, marketing, and trade",B,C,C,Central and West Asia Department,,ADB Disclosure,"The proposed project will help strengthen the horticulture value chain in Afghanistan by (i) improving the processing efficiency and marketing capacity of domestic agro-business enterprises (ABEs); (ii) modernizing crop production through better planting material, trellising, modern greenhouses, and on-farm facilities; and (iii) contributing to the national effort in establishing internationally recognized brands of Afghan horticultural produce. It will increase value addition for horticultural commodities produced in 11 provinces in the central, southern, and eastern parts of Afghanistan. As such, the project will contribute to increasing the supply of fresh and processed fruit and vegetables, and expanding exports of high-value fruit, vegetables, and nuts in which the country has a comparative advantage."
48409-003,Climate-Friendly Agribusiness Value Chains Sector Project,Myanmar,Sovereign,Grant | Loan,Active,0617 | 3724,10/9/2018,"40,500,000.00","Magway Region, Mandalay Region, Sagaing Region","Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade | Irrigation | Land-based natural resources management",B,B,B,Southeast Asia Department,"Ministry of Agriculture, Livestock and Irrigation","Ancha, Srinivasan","The proposed project supports fulfilling the government''s Agriculture Development Strategy (ADS), 2018- 2023 and the National Export Strategy, 2015-2019 by boosting competitiveness in value chains for rice, beans, pulses, and oilseeds in the Magway, Mandalay, and Sagaing regions in the central dry zone (CDZ). The project will increase climate resilience for critical rural infrastructure, promote quality and safety testing capacity, strengthen technical and institutional capacity for climate-smart agriculture (CSA), and create an enabling policy environment for climate-friendly agribusinesses. The project will reduce food insecurity and rural poverty, increase smallholders' incomes and access to markets, and improve resource efficiency and environmental sustainability for agribusinesses."
52106-001,National Disaster Risk Management Project,Tajikistan,Sovereign,Grant,Active,0614,9/28/2018,"10,000,000.00",Nation-wide,"Agriculture, natural resources and rural development",Land-based natural resources management | Water-based natural resources management,C,C,C,Central and West Asia Department,Committee of Emergency Situations and Civil Defense under the Government of Tajikistan,"Nuriddinov, Farrukh Sharofiddinovich",
48443-002,Hunan Xiangjiang River Watershed Existing Solid Waste Comprehensive Treatment Project,"China, People's Republic of",Sovereign,Loan,Active,3712,9/26/2018,"150,000,000.00",Changsha,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural solid waste management | Urban solid waste management,A,B,B,East Asia Department,"Bureau of Finance, Hunan Province","Zheng, Baochang",The project will address urgent environmental and infrastructure needs associated with municipal solid waste (MSW) management in 10 counties and county-level cities in the Xiangjiang River watershed of Hunan Province. It is a milestone for the Asian Development Bank (ADB) because it will be the first in the PRC to focus solely on MSW management. It will also complement the government's efforts to align MSW services with sustainable development. It will support overall strategies to reduce the discharge of long-term pollutants in the Xiangjiang River watershed and has significant potential for wide replication.
51005-002,Chongqing Longxi River Basin Integrated Flood and Environmental Risk Management Project,"China, People's Republic of",Sovereign,Loan,Active,3704,9/17/2018,"150,000,000.00","Nation-wide, Chongqing","Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural flood protection | Water-based natural resources management | Urban flood protection | Urban sanitation | Urban solid waste management,A,C,A,East Asia Department,Chongqing Municipal Finance Bureau,"Cai, Xueliang",The impact will be improved quality of the living environment in Chongqing Municipality. The outcome will be improved flood and environmental risk management in the project districts and counties. The outputs will be: (i) flood management system constructed; (ii) water pollution control system constructed; (iii) ecological conservation measures improved; and (iv) flood and environmental risk management capacity enhanced.
