Project Name,Project ID,Region,Status,Country,Implementing Agency,Project URL,Year Approved,Current Project Cost,Total IDA and IBRD Commitment,Grant Amount,Borrower,Environmental Assessment Category
Additional Financing - Rio de Janeiro Sustainable Rural Development,P126684,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P126684,2012-11-06T00:00:00Z,140500000,140500000,,,B
Myanmar National Community Driven Development Project,P132500,East Asia and Pacific,Active,Republic of the Union of Myanmar,"Ministry of Agriculture, Livestock and Irrigation",https://projects.worldbank.org/en/projects-operations/project-detail/P132500,2012-11-01T00:00:00Z,532500000,532500000,"22,500,000","Ministry of Planning and Finance, Department of Rural Development",B
Competitiveness Developmenet Policy Operation,P122226,Europe and Central Asia,Closed,Republic of Moldova,,https://projects.worldbank.org/en/projects-operations/project-detail/P122226,2012-11-01T00:00:00Z,30000000,30000000,,,
Tajikistan PDPG6,P126042,Europe and Central Asia,Closed,Republic of Tajikistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P126042,2012-10-31T00:00:00Z,20000000,20000000,,,
Rural Alliances Project II,P127743,Latin America and Caribbean,Active,Plurinational State of Bolivia,EMPODERAR (Emprendimientos Organizados para el Desarrollo Rural Autogestionario),https://projects.worldbank.org/en/projects-operations/project-detail/P127743,2012-10-23T00:00:00Z,64540000,64540000,,The Plurinational State of Bolivia,B
Accelerated Food Security Project Additional Financing,P132780,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P132780,2012-10-23T00:00:00Z,25000000,25000000,,,B
Tanzania: Third Additional Financing for Agricultural Sector Development Project,P132838,Eastern and Southern Africa,Closed,United Republic of Tanzania,,https://projects.worldbank.org/en/projects-operations/project-detail/P132838,2012-10-23T00:00:00Z,30000000,30000000,,,B
Burundi Sixth Economic Reform Support Grant - First Operation in the series of 3,P127080,Eastern and Southern Africa,Closed,Republic of Burundi,Ministry of Finance and Economic Development Planning,https://projects.worldbank.org/en/projects-operations/project-detail/P127080,2012-10-23T00:00:00Z,25000000,25000000,,,
Kandadji Project,P130174,Western and Central Africa,Active,Western and Central Africa,Agency of the Kandadji Dam (ABK),https://projects.worldbank.org/en/projects-operations/project-detail/P130174,2012-10-02T00:00:00Z,1044550000,1044550000,"599,460,000",Niger Basin Authority (NBA),A
Remote Rural Communities Development Project,P123820,South Asia,Closed,Kingdom of Bhutan,Minsitry of Agriculture and Forests,https://projects.worldbank.org/en/projects-operations/project-detail/P123820,2012-10-02T00:00:00Z,9000000,9000000,,,B
AF - HP Mid-Himalayan Watershed Development Project,P130944,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P130944,2012-09-27T00:00:00Z,37000000,37000000,,,B
NG-RURAL ACCESS & MOBILITY PROJECT-Phase 2,P095003,Western and Central Africa,Closed,Federal Republic of Nigeria,"Enugu State Ministry of Works, Federal Ministry of Agriculture and Rural Development, Niger State Ministry of Agriculture and Rural Development, Osun State Ministry of Local Government, Chieftaincy Affairs, Water Resources and Community Affairs, Adamawa State Ministry of Rural Development",https://projects.worldbank.org/en/projects-operations/project-detail/P095003,2012-09-25T00:00:00Z,242710000,242710000,"60,000,000",The Government of the Federal Republic of Nigeria,B
Ethiopia Promoting Basic Services Program Phase III Project,P128891,Eastern and Southern Africa,Closed,Federal Democratic Republic of Ethiopia,"Ministry of Finance and Economy Development, Ministry of Finance",https://projects.worldbank.org/en/projects-operations/project-detail/P128891,2012-09-25T00:00:00Z,4887090000,4887090000,"1,116,290,000","Government of the Federal Democratic Republic of Ethiopia, Federal Democratic Republic of Ethiopia",C
RUSSIA FOREST FIRE RESPONSE PROJECT,P123923,Europe and Central Asia,Closed,Russian Federation,"Ministry of Natural Resources and Environment, Federal Forestry Agency",https://projects.worldbank.org/en/projects-operations/project-detail/P123923,2012-09-20T00:00:00Z,121260000,121260000,,Russian Federation,B
Karnataka Watershed Development Project - II,P122486,South Asia,Closed,Republic of India,"Department of Horticulture, Watershed Development Department",https://projects.worldbank.org/en/projects-operations/project-detail/P122486,2012-09-06T00:00:00Z,85700000,85700000,,Republic of India,B
IN: Development Policy Loan (DPL) to Promote Inclusive Green Growth and Sustainable Development in Himachal Pradesh,P124041,South Asia,Closed,Republic of India,"Department of Environment, Science and Technology (DEST), Government of Himachal Pradesh",https://projects.worldbank.org/en/projects-operations/project-detail/P124041,2012-09-06T00:00:00Z,100000000,100000000,,,
Agriculture Development and Food Price Response-Additional Financing,P128994,Western and Central Africa,Closed,Islamic Republic of Mauritania,,https://projects.worldbank.org/en/projects-operations/project-detail/P128994,2012-08-02T00:00:00Z,10000000,10000000,,,B
Sustainable Management of Agricultural Research and Technology Dissemination (SMARTD),P117243,East Asia and Pacific,Closed,Republic of Indonesia,IAARD - SMARTD,https://projects.worldbank.org/en/projects-operations/project-detail/P117243,2012-08-02T00:00:00Z,106000000,106000000,,Indonesian Agency for Agricultural Research and Development (IAARD),B
Malawi - Rapid Response Development Policy Grant,P126155,Eastern and Southern Africa,Closed,Republic of Malawi,,https://projects.worldbank.org/en/projects-operations/project-detail/P126155,2012-07-17T00:00:00Z,50000000,50000000,,,
Irrigation Rural Livelihoods and Agricultural Development Project AF II,P131760,Eastern and Southern Africa,Closed,Republic of Malawi,,https://projects.worldbank.org/en/projects-operations/project-detail/P131760,2012-07-17T00:00:00Z,50000000,50000000,,,B
Water Management and Development Project,P123204,Eastern and Southern Africa,Closed,Republic of Uganda,"National Water & Sewerage Compamy, Ministry of Water and Environment",https://projects.worldbank.org/en/projects-operations/project-detail/P123204,2012-06-26T00:00:00Z,135000000,135000000,,"Government of Uganda, Ministry of Finance, Planning and Economic Development, Uganda",B
NIGER - Shared Growth Credit I,P125272,Western and Central Africa,Closed,Republic of Niger,"Ministry of Planning, Regional and Community Development",https://projects.worldbank.org/en/projects-operations/project-detail/P125272,2012-06-26T00:00:00Z,50000000,50000000,,,
BF- First Growth and Competitiveness Credit (GCC-1),P126207,Western and Central Africa,Closed,Burkina Faso,Ministry of Economy and Finance,https://projects.worldbank.org/en/projects-operations/project-detail/P126207,2012-06-26T00:00:00Z,90000000,90000000,,,
Malawi: Shire River Basin Management Program (Phase-I) Project,P117617,Eastern and Southern Africa,Closed,Republic of Malawi,"Ministry of Agriculture, Irrigation and Water Development",https://projects.worldbank.org/en/projects-operations/project-detail/P117617,2012-06-14T00:00:00Z,136300000,136300000,,"Government of Malawi, Ministry of Finance",A
DJ-Rural Community Development & Ware Mobilization - Additional Financing,P130515,Middle East and North Africa,Closed,Republic of Djibouti,,https://projects.worldbank.org/en/projects-operations/project-detail/P130515,2012-06-12T00:00:00Z,3000000,3000000,,,B
LR Smallholder Tree Crop Revitalization Support Project,P113273,Western and Central Africa,Closed,Republic of Liberia,Ministry of Agriculture,https://projects.worldbank.org/en/projects-operations/project-detail/P113273,2012-06-05T00:00:00Z,15000000,15000000,,Ministry Of Finance and Development Planning,B
Bihar Rural Livelihood Project Additional Financing,P130546,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P130546,2012-05-31T00:00:00Z,140000000,140000000,,,B
TG-Economic Recovery & Gov. Credit 5,P126897,Western and Central Africa,Closed,Republic of Togo,,https://projects.worldbank.org/en/projects-operations/project-detail/P126897,2012-05-24T00:00:00Z,14000000,14000000,,,
Congo: Forest and Econ. Diversification Project,P124085,Western and Central Africa,Closed,Republic of Congo,Ministry of Forest Economy,https://projects.worldbank.org/en/projects-operations/project-detail/P124085,2012-05-24T00:00:00Z,32600000,32600000,,Ministry of Finance,B
CN Integrated Economic Development of Small Towns,P118597,East Asia and Pacific,Closed,People's Republic of China,"Hunan Provincial Project Managment Office, Guangdong Provincial Project Management Office, Gansu Provincial Project Management Office",https://projects.worldbank.org/en/projects-operations/project-detail/P118597,2012-05-24T00:00:00Z,296640000,296640000,,People's Republic of China,B
West Africa Agricultural Productivity Program 2A,P129565,Western and Central Africa,Closed,Western and Central Africa,Technical and Fiduciary Coordination Unit (TFCU),https://projects.worldbank.org/en/projects-operations/project-detail/P129565,2012-05-22T00:00:00Z,92400000,92400000,,"Republic of Ghana, Republic of Senegal, Ministry of Economy, Finance and Plan",B
MX Moderniz of National Meteorological Serv (MOMET),P126487,Latin America and Caribbean,Closed,United Mexican States,,https://projects.worldbank.org/en/projects-operations/project-detail/P126487,2012-05-17T00:00:00Z,171263157.89,171263157.89,,Secretaria de Hacienda y Credito Publico,B
Agriculture Production Support Project,P126576,Western and Central Africa,Closed,Republic of Chad,"PAPAT PCU, Ministry of Agriculture",https://projects.worldbank.org/en/projects-operations/project-detail/P126576,2012-05-17T00:00:00Z,29629630,29629630,,"Ministry of Economy and Planning, Republic of Chad",
Ningxia Desertification Control and Ecological Protection Project,P121289,East Asia and Pacific,Closed,People's Republic of China,Ningxia Forestry Bureau,https://projects.worldbank.org/en/projects-operations/project-detail/P121289,2012-05-17T00:00:00Z,97450000,97450000,,People's Republic of China,B
Metro Manila Wastewater Management Project,P113844,East Asia and Pacific,Closed,Republic of the Philippines,"Maynilad Water Services, Inc. (Maynilad), Manila Water Company, Inc. (MWCI)",https://projects.worldbank.org/en/projects-operations/project-detail/P113844,2012-05-15T00:00:00Z,371700000,371700000,,Land Bank of the Philippines,F
Ghana Fourth Agriculture Development Policy Operation,P122808,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P122808,2012-05-15T00:00:00Z,50000000,50000000,,,
Coastal Resources for Sustainable Development Project,P118979,East Asia and Pacific,Closed,Socialist Republic of Vietnam,"State Bank of Vietnam, Ministry of Agriculture and Rural Development",https://projects.worldbank.org/en/projects-operations/project-detail/P118979,2012-05-10T00:00:00Z,124400000,124400000,,"The Socialist Republic of Vietnam, Government of Vietnam",B
Water Conservation Project II,P114138,East Asia and Pacific,Closed,People's Republic of China,Ministry of Water Resources (MWR),https://projects.worldbank.org/en/projects-operations/project-detail/P114138,2012-05-10T00:00:00Z,160000000,160000000,,"International Department, Ministry of Finance",B
Nigeria Erosion  and Watershed Management Project,P124905,Western and Central Africa,Closed,Federal Republic of Nigeria,"National Project Implementation Unit, Federal Ministry of Environment",https://projects.worldbank.org/en/projects-operations/project-detail/P124905,2012-05-08T00:00:00Z,908592593,908592593,,"Federal Republic of Nigeria, Federal Ministry of Finance",A
Irrigation Development Project,P115954,Europe and Central Asia,Closed,Bosnia and Herzegovina,Agricultural Projects Coordination Unit (APCU) / Project Implementation Unit (PIU),https://projects.worldbank.org/en/projects-operations/project-detail/P115954,2012-05-03T00:00:00Z,47000000,47000000,,Bosnia and Herzegovina,B
Moldova Agriculture Competitiveness Project,P118518,Europe and Central Asia,Active,Republic of Moldova,"Ministry of Finance, Ministry of Agriculture and Food Industry, Ministry of Agriculture, Regional Development and Environment",https://projects.worldbank.org/en/projects-operations/project-detail/P118518,2012-05-01T00:00:00Z,83940000,83940000,"2,850,000",Ministry of Finance,B
Ceara Rural Sustainable Development and Competitiveness,P121167,Latin America and Caribbean,Closed,Federative Republic of Brazil,Secretaria de Desenvolvimento Agrario,https://projects.worldbank.org/en/projects-operations/project-detail/P121167,2012-04-05T00:00:00Z,0,0,,State of Ceara,B
Productive Safety Nets Program (APL III) Additional Financing,P126430,Eastern and Southern Africa,Closed,Federal Democratic Republic of Ethiopia,,https://projects.worldbank.org/en/projects-operations/project-detail/P126430,2012-03-29T00:00:00Z,370000000,370000000,,,B
Samoa Agriculture Competitiveness Enhancement Project,P115351,East Asia and Pacific,Closed,Samoa,Ministry of Agriculture and Fisheries,https://projects.worldbank.org/en/projects-operations/project-detail/P115351,2012-03-29T00:00:00Z,16160000,16160000,,Independent State of Samoa,B
Rajasthan Agricultural Competitiveness Project,P124614,South Asia,Closed,Republic of India,Rajasthan Agricultural Competitiveness Project Management and Implementation Society,https://projects.worldbank.org/en/projects-operations/project-detail/P124614,2012-03-27T00:00:00Z,166500000,166500000,,The Republic of India,B
Additional Financing to the Malawi Agricultural Development Program Support Project,P128576,Eastern and Southern Africa,Closed,Republic of Malawi,,https://projects.worldbank.org/en/projects-operations/project-detail/P128576,2012-03-22T00:00:00Z,80800000,80800000,,,B
Ghana Commercial Agriculture,P114264,Western and Central Africa,Closed,Republic of Ghana,"Lands Commission, Irrigation Company of the Upper Region, Ministry of Food and Agriculture, Ghana Irrigation Development Authority",https://projects.worldbank.org/en/projects-operations/project-detail/P114264,2012-03-22T00:00:00Z,100000000,100000000,,Republic of Ghana,A
Forest Sector Development Project Additional Financing,P126542,East Asia and Pacific,Closed,Socialist Republic of Vietnam,,https://projects.worldbank.org/en/projects-operations/project-detail/P126542,2012-03-22T00:00:00Z,31500000,31500000,,,B
PK Punjab Irrig Agri Productivity Improvement Program Project,P125999,South Asia,Closed,Islamic Republic of Pakistan,Directorate General Agriculture (Water Management),https://projects.worldbank.org/en/projects-operations/project-detail/P125999,2012-03-20T00:00:00Z,423500000,423500000,,"Government of Punjab, Islamic Republic of Pakistan",B
National Dairy Support Project,P107648,South Asia,Closed,Republic of India,National Dairy Development Board,https://projects.worldbank.org/en/projects-operations/project-detail/P107648,2012-03-15T00:00:00Z,453900000,453900000,,Republic of India,B
IN - Assam Agricultural Competitiveness Project Additional Financing,P129686,South Asia,Closed,Republic of India,,https://projects.worldbank.org/en/projects-operations/project-detail/P129686,2012-03-08T00:00:00Z,62500000,62500000,,,B
Pernambuco Rural Economic Inclusion,P120139,Latin America and Caribbean,Closed,Federative Republic of Brazil,"State Secretariat of Health (co-implementing agency), State Secretariat of Agrarian Development (SDA)",https://projects.worldbank.org/en/projects-operations/project-detail/P120139,2012-03-06T00:00:00Z,135250000,135250000,,State of Pernambuco,B
State Employment and Expenditure for Results Project,P121455,Western and Central Africa,Closed,Federal Republic of Nigeria,Federal Ministry of Budget and National Planning,https://projects.worldbank.org/en/projects-operations/project-detail/P121455,2012-03-06T00:00:00Z,200000000,200000000,,Federal Republic of Nigeria,B
Piaui Green Growth and Inclusion DPL,P126449,Latin America and Caribbean,Closed,Federative Republic of Brazil,,https://projects.worldbank.org/en/projects-operations/project-detail/P126449,2012-03-06T00:00:00Z,350000000,350000000,,,
Third Rural Sector Support Project,P126440,Eastern and Southern Africa,Closed,Republic of Rwanda,Rwanda Agriculture Board,https://projects.worldbank.org/en/projects-operations/project-detail/P126440,2012-03-01T00:00:00Z,80000000,80000000,,Republic or Rwanda/ Ministry of Finance and Economic Planning,B
Strengthening Social Resilience to Climate Change,P120170,Latin America and Caribbean,Closed,United Mexican States,,https://projects.worldbank.org/en/projects-operations/project-detail/P120170,2012-03-01T00:00:00Z,300751879.7,300751879.7,,,
Zambia: Livestock Development and Animal Health Project,P122123,Eastern and Southern Africa,Closed,Republic of Zambia,"Ministry of Fisheries and Livestock, Department of Veterinary Services, Department of Livestock Development",https://projects.worldbank.org/en/projects-operations/project-detail/P122123,2012-02-28T00:00:00Z,64750000,64750000,,,B
Sichuan Wudu Irrigated Agriculture Development Project,P121414,East Asia and Pacific,Closed,People's Republic of China,Sichuan Wudu Water Diversion Management Bureau,https://projects.worldbank.org/en/projects-operations/project-detail/P121414,2012-02-28T00:00:00Z,658000000,658000000,,The People's Republic of China,A
Uganda Ninth Poverty Reduction Support Credit,P097325,Eastern and Southern Africa,Closed,Republic of Uganda,,https://projects.worldbank.org/en/projects-operations/project-detail/P097325,2012-02-28T00:00:00Z,100000000,100000000,,,
GPRC-2 Supplemental Financing,P129793,Western and Central Africa,Closed,Republic of Niger,,https://projects.worldbank.org/en/projects-operations/project-detail/P129793,2012-02-23T00:00:00Z,0,0,,,
AF Land Registration & Cadastre System for Sustainable Agriculture Project,P129313,Europe and Central Asia,Closed,Republic of Tajikistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P129313,2012-02-21T00:00:00Z,10070000,10070000,,,B
Mexico Forests and Climate Change Project,P123760,Latin America and Caribbean,Closed,United Mexican States,CONAFOR,https://projects.worldbank.org/en/projects-operations/project-detail/P123760,2012-01-31T00:00:00Z,775000000,775000000,"42,000,000",Ministry of Finance,B
Rwanda - Governance & Competitiveness TA Project,P127105,Eastern and Southern Africa,Closed,Republic of Rwanda,Ministry of Trade & Industry,https://projects.worldbank.org/en/projects-operations/project-detail/P127105,2012-01-26T00:00:00Z,5000000,5000000,,"Ministry of Finance and Economic Planning, Republic of Rwanda",C
BR Sergipe Water,P112074,Latin America and Caribbean,Closed,Federative Republic of Brazil,"Secretariat of Urban Development and Sustainability (SEDURBS), DESO-SE",https://projects.worldbank.org/en/projects-operations/project-detail/P112074,2012-01-26T00:00:00Z,117125000,117125000,,State of Sergipe,A
LA-Khammouane Development-Additional Financing Project,P127176,East Asia and Pacific,Closed,Lao People's Democratic Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P127176,2012-01-26T00:00:00Z,9190000,9190000,,,B
BJ- Poverty Reduction Support Grant - PRSG 7,P122803,Western and Central Africa,Closed,Republic of Benin,,https://projects.worldbank.org/en/projects-operations/project-detail/P122803,2011-12-19T00:00:00Z,30000000,30000000,,,
Burundi Fifth Economic Reform Support Grant,P119324,Eastern and Southern Africa,Closed,Republic of Burundi,,https://projects.worldbank.org/en/projects-operations/project-detail/P119324,2011-12-15T00:00:00Z,35000000,35000000,,,
Relaunching Agriculture: Strengthening Agriculture Public Services II Project (GAFSP - IDA),P126744,Latin America and Caribbean,Closed,Republic of Haiti,"Ministry of Agriculture, Natural Resources and Rural Development",https://projects.worldbank.org/en/projects-operations/project-detail/P126744,2011-12-01T00:00:00Z,50000000,50000000,,Republic of Haiti,B
PH - Regional Infrastructure for Growth,P108904,East Asia and Pacific,Closed,Republic of the Philippines,Development Bank of the Philippines,https://projects.worldbank.org/en/projects-operations/project-detail/P108904,2011-12-01T00:00:00Z,500500000,500500000,,Development Bank of the Philippines,B
Eighth Poverty Reduction Support Financing,P122247,Eastern and Southern Africa,Closed,Republic of Rwanda,,https://projects.worldbank.org/en/projects-operations/project-detail/P122247,2011-11-29T00:00:00Z,125000000,125000000,,,
DO AF to Emergency Recovery & Disaster Management.,P126840,Latin America and Caribbean,Closed,Dominican Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P126840,2011-11-17T00:00:00Z,20000000,20000000,,,B
Sustainable Management of Natural Resources and Climate Change,P124181,Latin America and Caribbean,Closed,Oriental Republic of Uruguay,"Ministry of Livestock, Agriculture and Fisheries (MGAP)",https://projects.worldbank.org/en/projects-operations/project-detail/P124181,2011-11-17T00:00:00Z,55000000,55000000,,ORIENTAL REPUBLIC OF URUGUAY,B
Lesotho Smallholder Agriculture Development Project,P119432,Eastern and Southern Africa,Closed,Kingdom of Lesotho,Ministry of Agriculture and Food Security,https://projects.worldbank.org/en/projects-operations/project-detail/P119432,2011-11-10T00:00:00Z,24460000,24460000,"10,000,000",Government of Lesotho,B
Additional Financing to IREP,P126509,Europe and Central Asia,Closed,Republic of Armenia,,https://projects.worldbank.org/en/projects-operations/project-detail/P126509,2011-10-25T00:00:00Z,21600000,21600000,,,B
IN West Bengal Accelerated Development of Minor Irrigation,P105311,South Asia,Closed,Republic of India,"Public Works Department, Government of West Bengal, DWRID, Government of West Bengal",https://projects.worldbank.org/en/projects-operations/project-detail/P105311,2011-10-04T00:00:00Z,300000000,300000000,,Republic of India,A
Integrated Land Administration System Project,P122219,Europe and Central Asia,Active,Republic of Croatia,"State Geodetic Authority, Ministry of Justice and Public Administration",https://projects.worldbank.org/en/projects-operations/project-detail/P122219,2011-08-04T00:00:00Z,26544000,26544000,,Ministry of Finance,B
Poverty Reduction Support Credit (11),P122805,Western and Central Africa,Closed,Burkina Faso,,https://projects.worldbank.org/en/projects-operations/project-detail/P122805,2011-07-26T00:00:00Z,125000000,125000000,,,
BO PICAR Community Investment in Rural Areas,P107137,Latin America and Caribbean,Closed,Plurinational State of Bolivia,"EMPODERAR, Ministry of Rural Development and Lands",https://projects.worldbank.org/en/projects-operations/project-detail/P107137,2011-07-21T00:00:00Z,43000000,43000000,,Plurinational State of Bolivia,B
Agricultural Innovation and Services,P106700,Latin America and Caribbean,Closed,Plurinational State of Bolivia,INIAF,https://projects.worldbank.org/en/projects-operations/project-detail/P106700,2011-07-21T00:00:00Z,52900000,52900000,,Ministry of Planning,B
Ghana - West Africa Regional Fisheries Program,P124775,Western and Central Africa,Closed,Republic of Ghana,"Fisheries Commission, Ministry of Fisheries and Aquaculture Development",https://projects.worldbank.org/en/projects-operations/project-detail/P124775,2011-07-14T00:00:00Z,50300000,50300000,,"Fishery Commission, Ministry of Finance",B
FOURTH NATIONAL PROGRAM FOR COMMUNITY EMPOWERMENT IN RURAL AREA (PNPM IV),P122810,East Asia and Pacific,Closed,Republic of Indonesia,,https://projects.worldbank.org/en/projects-operations/project-detail/P122810,2011-07-14T00:00:00Z,1283608105,1283608105,,,B
BR Federal Integrated Water - Interaguas,P112073,Latin America and Caribbean,Closed,Federative Republic of Brazil,"Ministry of Cities, Ministry of National Integration, ANA - National Water Agency, Ministry of Environment",https://projects.worldbank.org/en/projects-operations/project-detail/P112073,2011-07-12T00:00:00Z,143110000,143110000,,Ministry of Finance,B
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 1,P118179,South Asia,Closed,Nepal,Department of Irrigation,https://projects.worldbank.org/en/projects-operations/project-detail/P118179,2011-07-05T00:00:00Z,49000000,49000000,,Ministry of Finance,B
National Rural Livelihoods Project,P104164,South Asia,Active,Republic of India,Ministry of Rural Development,https://projects.worldbank.org/en/projects-operations/project-detail/P104164,2011-07-05T00:00:00Z,650000000,650000000,,DEA,B
VN-VAHIP additional financing,P123783,East Asia and Pacific,Closed,Socialist Republic of Vietnam,,https://projects.worldbank.org/en/projects-operations/project-detail/P123783,2011-06-30T00:00:00Z,25000000,25000000,,,B
Second Land Administration Project,P106680,Latin America and Caribbean,Closed,Republic of Honduras,Property Institute,https://projects.worldbank.org/en/projects-operations/project-detail/P106680,2011-06-30T00:00:00Z,32800000,32800000,,Republic of Honduras,B
West Africa Regional Fisheries Program APL A1 Additional Financing,P124844,Africa,Closed,Africa,,https://projects.worldbank.org/en/projects-operations/project-detail/P124844,2011-06-28T00:00:00Z,12000000,12000000,,,B
AF-SECOND ON-FARM IRRIGATION PROJECT,P126390,Europe and Central Asia,Closed,Kyrgyz Republic,,https://projects.worldbank.org/en/projects-operations/project-detail/P126390,2011-06-28T00:00:00Z,15050000,15050000,,,B
Irrigation and Drainage,P125307,Eastern and Southern Africa,Closed,Federal Democratic Republic of Ethiopia,,https://projects.worldbank.org/en/projects-operations/project-detail/P125307,2011-06-23T00:00:00Z,78700000,78700000,,,A
Growth Policy Reform Operation II,P117286,Western and Central Africa,Closed,Republic of Niger,,https://projects.worldbank.org/en/projects-operations/project-detail/P117286,2011-06-23T00:00:00Z,52000000,52000000,,,
Madagascar Additional Finance-3rd Environmental Program,P107484,Eastern and Southern Africa,Closed,Republic of Madagascar,,https://projects.worldbank.org/en/projects-operations/project-detail/P107484,2011-06-21T00:00:00Z,52000000,52000000,0,,B
Burkina Faso - Bagre Growth Pole Project,P119662,Western and Central Africa,Closed,Burkina Faso,"Maison d'Entreprise du Burkina Faso, BagrePole",https://projects.worldbank.org/en/projects-operations/project-detail/P119662,2011-06-21T00:00:00Z,133700000,133700000,,"Ministry of Economy, Finance and Development",A
Second Phase of the APL on Strengthening Regional Cooperation for Wildlife Protection in Asia,P126193,South Asia,Closed,South Asia,"Wildlife Conservation Division, Department of Forests and Park Services",https://projects.worldbank.org/en/projects-operations/project-detail/P126193,2011-06-17T00:00:00Z,2250000,2250000,,"Ministry of Finance, Royal Government of Bhutan",B
DJ-Rural Community Development and Water Mobilization Project (PRODERMO),P117355,Middle East and North Africa,Closed,Republic of Djibouti,"Ministry of Agriculture, Water, Fisheries, Livestock and Halieutic Resources (MAEPERH)",https://projects.worldbank.org/en/projects-operations/project-detail/P117355,2011-06-14T00:00:00Z,6130000,6130000,,Ministry of Economy and Finance in charge of Industry,B
Agriculture and Rural Development,P112526,Europe and Central Asia,Active,Republic of Kosovo,"Ministry of Agriculture, Forestry and Rural Development",https://projects.worldbank.org/en/projects-operations/project-detail/P112526,2011-06-14T00:00:00Z,35030000,35030000,,"Republic of Kosovo, Ministry of Agriculture, Forestry and Rural Development",B
AFCC2/RI-Lake Victoria Environmental Management Project (Burundi and Rwanda),P118316,Africa,Closed,Africa,"MEEATU, Rwanda Environment Management Authority",https://projects.worldbank.org/en/projects-operations/project-detail/P118316,2011-06-13T00:00:00Z,30000000,30000000,,"Minister of Finance, Ministry of Finance",B
Second Sustainable Livelihoods Project Additional Financing,P125504,East Asia and Pacific,Closed,Mongolia,,https://projects.worldbank.org/en/projects-operations/project-detail/P125504,2011-06-09T00:00:00Z,11000000,11000000,,,B
Tajikistan's Fifth Programmatic Development Policy Grant,P120445,Europe and Central Asia,Closed,Republic of Tajikistan,,https://projects.worldbank.org/en/projects-operations/project-detail/P120445,2011-06-07T00:00:00Z,10000000,10000000,,,
VN - Mekong Delta Water Management for Rural Dev,P113949,East Asia and Pacific,Closed,Socialist Republic of Vietnam,Central Project Office,https://projects.worldbank.org/en/projects-operations/project-detail/P113949,2011-06-07T00:00:00Z,206600000,206600000,,Ministry of Agriculture and Rural Development,B
LK 2nd AF for the Community Livelihoods in Conflict Affected Areas,P125855,South Asia,Closed,Democratic Socialist Republic of Sri Lan,,https://projects.worldbank.org/en/projects-operations/project-detail/P125855,2011-06-02T00:00:00Z,48000000,48000000,,,B
CAR-Agro-Pastoral Recovery Project,P124278,Western and Central Africa,Closed,Central African Republic,Ministry in Charge of Rural Development,https://projects.worldbank.org/en/projects-operations/project-detail/P124278,2011-06-02T00:00:00Z,23800000,23800000,,Ministry of Planning and International Affairs,B
Ghana Third Agriculture Development Policy Operation,P122796,Western and Central Africa,Closed,Republic of Ghana,,https://projects.worldbank.org/en/projects-operations/project-detail/P122796,2011-05-26T00:00:00Z,57000000,57000000,,,
Rural and Private Sector Development Additional Financing,P125256,Western and Central Africa,Closed,Republic of Sierra Leone,,https://projects.worldbank.org/en/projects-operations/project-detail/P125256,2011-05-19T00:00:00Z,20000000,20000000,,,B
Biodiversity Conservation and Rural Livelihoods Improvement,P088520,South Asia,Closed,Republic of India,"Satpura Tiger Foundation Maharashtra, KMTR Tiger Foundation, BCRLIP Landscape Society LRK, Wildlife Institute of India, BCRLIP Landscape Society Askot, Periyar Tiger Foundation, Satpura Tiger Foundation Madhya Pradesh, Gir Lion Society",https://projects.worldbank.org/en/projects-operations/project-detail/P088520,2011-05-17T00:00:00Z,22880000,22880000,,Ministry of Environment and Forests,B
ML-Fifth Poverty Reduction Support Credit,P122483,Western and Central Africa,Closed,Republic of Mali,,https://projects.worldbank.org/en/projects-operations/project-detail/P122483,2011-04-28T00:00:00Z,70000000,70000000,,,
AF Irrigation Restoration and Development Project,P122235,South Asia,Closed,Islamic  Republic of Afghanistan,Ministry of Energy and Water (MEW),https://projects.worldbank.org/en/projects-operations/project-detail/P122235,2011-04-28T00:00:00Z,148700000,148700000,"48,400,000","Islamic Republic of Afghanistan, Ministry of Energy and Water (MEW)",A
Water Users Association Development Support Project,P107617,Europe and Central Asia,Closed,Republic of Azerbaijan,Amelioration and Irrigation Open Joint Stock Company,https://projects.worldbank.org/en/projects-operations/project-detail/P107617,2011-04-26T00:00:00Z,114300000,114300000,,Ministry of Finance,B
BJ-PRSC 6 Supplemental Credit,P125114,Western and Central Africa,Closed,Republic of Benin,,https://projects.worldbank.org/en/projects-operations/project-detail/P125114,2011-04-21T00:00:00Z,22000000,22000000,,,
Additional Financing to the Poverty Alleviation Fund II,P124088,South Asia,Closed,Nepal,,https://projects.worldbank.org/en/projects-operations/project-detail/P124088,2011-04-21T00:00:00Z,96000000,96000000,,,B
